day_of_year,day_of_year_sin,freight_rate_usd_mt,bunker_price_usd_mt,days_since_start
217,-0.5595892624101763,15.8793,79.8593,217
218,-0.5737722679043243,16.3872,82.2351,218
219,-0.5877852522924734,16.0658,79.0693,219
220,-0.6016240632249227,16.6613,78.8614,220
221,-0.6152845999633277,16.5522,79.9474,221
222,-0.6287628145958345,16.9353,81.2287,222
223,-0.6420547132365636,15.579,79.7529,223
224,-0.655156357209085,16.0522,82.9352,224
225,-0.6680638642135333,16.2952,83.1255,225
226,-0.6807734094770159,16.1667,80.4767,226
227,-0.6932812268869771,16.9194,85.1548,227
228,-0.7055836101071774,15.9276,81.1183,228
229,-0.7176769136759615,15.4227,83.442,229
230,-0.7295575540864876,15.694,81.9211,230
231,-0.7412220108485957,15.2533,81.9985,231
232,-0.7526668275320083,14.5699,77.9358,232
233,-0.7638886127905429,15.2352,79.1049,233
234,-0.7748840413670406,16.2635,81.0536,234
235,-0.7856498550787144,14.9264,84.2725,235
236,-0.7961828637826154,15.0892,82.7501,236
237,-0.8064799463209447,15.2748,81.5104,237
238,-0.8165380514459157,15.0013,83.654,238
239,-0.8263541987239094,14.5936,84.793,239
240,-0.8359254794186365,16.1936,82.632,240
241,-0.8452490573530634,15.6239,83.279,241
242,-0.8543221697498269,15.1891,83.1645,242
243,-0.8631421280499115,14.8033,83.0176,243
244,-0.8717063187093217,15.0146,81.6116,244
245,-0.8800122039735356,15.0827,81.6413,245
246,-0.888057322629493,14.9675,86.0949,246
247,-0.8958392907349089,14.9433,83.2742,247
248,-0.9033558023246842,15.1364,83.4257,248
249,-0.9106046300942162,14.5055,80.2804,249
250,-0.9175836260593934,13.9653,80.1383,250
251,-0.9242907221930934,15.1197,87.731,251
252,-0.9307239310379793,13.9805,83.3637,252
253,-0.9368813462954315,14.3519,78.6442,253
254,-0.9427611433904206,14.9379,90.7141,254
255,-0.9483615800121716,14.8806,84.3846,255
256,-0.9536809966304455,14.5233,82.4111,256
257,-0.9587178169872964,14.6785,86.2968,257
258,-0.9634705485641486,14.9109,88.0533,258
259,-0.9679377830240642,14.4672,88.0224,259
260,-0.9721181966290612,15.5441,88.7686,260
261,-0.9760105506323682,14.3941,84.903,261
262,-0.9796136916454901,14.8036,90.2224,262
263,-0.9829265519799822,14.7309,90.6209,263
264,-0.9859481499638303,15.0321,90.9846,264
265,-0.9886775902323404,15.69,88.6048,265
266,-0.9911140639934546,14.5932,87.4959,266
267,-0.9932568492674143,15.2676,87.562,267
268,-0.9951053111006974,15.3733,85.3629,268
269,-0.99665890175417,15.6838,87.8826,269
270,-0.9979171608653922,14.8198,84.0624,270
271,-0.9988797155850335,14.8776,85.8827,271
272,-0.9995462806873573,15.278,90.4022,272
273,-0.9999166586547379,15.3328,89.5654,273
274,-0.9999907397361901,15.0224,90.8367,274
275,-0.9997685019798909,15.8479,92.2115,275
276,-0.9992500112396835,15.8519,91.7714,276
277,-0.9984354211555643,16.575,91.8449,277
278,-0.9973249731081555,15.5707,91.27,278
279,-0.9959189961471792,15.2859,90.073,279
280,-0.994217906893952,15.3957,89.2622,280
281,-0.9922222094179324,16.0342,92.1138,281
282,-0.989932495087353,15.5982,92.6509,282
283,-0.9873494423939864,16.352,94.7876,283
284,-0.9844738167520923,15.7499,92.7244,284
285,-0.9813064702716093,16.1974,94.5501,285
286,-0.9778483415056567,16.0777,90.4249,286
287,-0.9741004551724206,15.7944,94.4537,287
288,-0.970063921851507,15.5861,94.5603,288
289,-0.965739937654855,16.8733,97.3467,289
290,-0.9611297838723007,16.4712,94.1147,290
291,-0.9562348265919058,15.7653,89.6303,291
292,-0.9510565162951536,15.8911,94.5461,292
293,-0.9455963874271428,17.3279,97.0229,293
294,-0.9398560579418953,16.0281,93.1197,294
295,-0.9338372288229252,17.1898,96.4813,295
296,-0.9275416835791965,16.5577,93.5273,296
297,-0.9209712877166347,15.7988,100.4744,297
298,-0.9141279881853337,16.2824,93.8979,298
299,-0.9070138128026362,16.8685,95.8174,299
300,-0.8996308696522434,15.7307,97.7383,300
301,-0.8919813464595487,16.2802,98.5818,301
302,-0.8840675099433637,16.2782,100.4902,302
303,-0.8758917051442433,16.7511,96.5215,303
304,-0.8674563547295971,16.7409,99.8332,304
305,-0.858763958275803,16.7088,94.6761,305
306,-0.8498170915275277,16.5792,96.3353,306
307,-0.8406184056344783,16.651,95.7016,307
308,-0.8311706263658079,15.8741,97.2789,308
309,-0.8214765533024145,16.583,100.8399,309
310,-0.8115390590073611,17.0732,98.1311,310
311,-0.801361088174677,16.4186,98.7211,311
312,-0.7909456567567774,16.122,100.4869,312
313,-0.780295851070776,16.1429,101.1325,313
314,-0.7694148268839381,16.9487,99.3871,314
315,-0.7583058084785625,15.2083,98.196,315
316,-0.7469720876965551,17.4859,104.2176,316
317,-0.7354170229639858,15.3883,99.9658,317
318,-0.7236440382959124,16.108,100.3538,318
319,-0.711656622281775,15.7137,100.7939,319
320,-0.6994583270516471,16.4464,102.657,320
321,-0.6870527672236675,16.4463,98.2598,321
322,-0.6744436188329457,16.2798,106.2241,322
323,-0.661634618242279,16.0539,101.1219,323
324,-0.6486295610349818,15.3441,103.3684,324
325,-0.6354323008901775,15.917,102.5223,325
326,-0.622046748440868,16.0425,106.3666,326
327,-0.6084768701151264,15.6054,106.1062,327
328,-0.594726686960764,16.2057,103.8591,328
329,-0.5808002734538013,16.0944,100.7802,329
330,-0.5667017562911184,15.9178,105.4792,330
331,-0.5524353131676203,15.9758,99.2034,331
332,-0.5380051715382992,15.8506,101.049,332
333,-0.5234156073655503,15.2623,102.9579,333
334,-0.5086709438521042,16.2132,99.6804,334
335,-0.49377555015997737,14.8815,102.1766,335
336,-0.4787338401157883,16.207,105.1393,336
337,-0.4635502709028512,15.4704,101.9225,337
338,-0.4482293417404106,16.283,105.4063,338
339,-0.4327755925504317,16.3816,108.878,339
340,-0.41719360261231697,16.0947,104.5521,340
341,-0.4014879892059737,16.4963,105.553,341
342,-0.38566340624360745,16.0297,106.561,342
343,-0.3697245428906732,16.0461,102.8944,343
344,-0.3536761221763721,17.0141,105.6312,344
345,-0.33752289959411347,16.1654,102.9151,345
346,-0.32126966169236515,16.32,104.6427,346
347,-0.3049212246562894,15.4914,106.0673,347
348,-0.2884824328806098,16.1666,102.1692,348
349,-0.27195815753410524,16.1101,98.8922,349
350,-0.2553532951161881,16.5582,101.9867,350
351,-0.23867276600594997,16.663,106.4455,351
352,-0.22192151300416674,16.7652,101.7201,352
353,-0.20510449986861926,16.4836,106.281,353
354,-0.1882267098432439,17.2021,101.9484,354
355,-0.1712931441814778,17.3425,103.4372,355
356,-0.154308820664281,17.4568,103.8614,356
357,-0.13727877211326517,17.1952,101.5751,357
358,-0.12020804489935275,16.7635,103.3436,358
359,-0.10310169744743544,17.6733,100.3165,359
360,-0.0859647987374467,17.0278,102.927,360
361,-0.06880242680232064,18.0943,103.4247,361
362,-0.05161966722325418,16.9484,98.5499,362
363,-0.034421611622745804,18.4087,101.4627,363
364,-0.01721335615583528,18.2218,104.0344,364
365,6.432490598706546e-16,17.4287,100.8182,365
1,0.017213356155834685,18.0939,104.22,366
2,0.03442161162274574,18.0784,104.3446,367
3,0.051619667223253764,18.3186,103.6462,368
4,0.06880242680231986,18.7144,104.6368,369
5,0.08596479873744647,17.3658,99.2479,370
6,0.10310169744743485,19.0683,104.8959,371
7,0.1202080448993527,17.7292,100.3218,372
8,0.13727877211326478,19.098,102.6548,373
9,0.15430882066428117,19.0374,106.2561,374
10,0.1712931441814776,18.4244,101.3429,375
11,0.1882267098432442,18.7775,102.0401,376
12,0.2051044998686192,19.8797,99.6309,377
13,0.2219215130041655,19.6125,105.6356,378
14,0.2386727660059501,19.4808,99.5216,379
15,0.255353295116187,19.3991,102.7892,380
16,0.2719581575341055,19.561,103.961,381
17,0.288482432880609,19.6036,102.6649,382
18,0.30492122465628907,18.5553,101.6072,383
19,0.3212696616923644,19.1484,100.8575,384
20,0.3375228995941133,20.1631,97.6696,385
21,0.3536761221763716,20.1368,104.0965,386
22,0.3697245428906731,20.1294,100.6575,387
23,0.38566340624360707,19.6378,99.9218,388
24,0.401487989205973,19.7232,97.2849,389
25,0.4171936026123168,19.012,99.6147,390
26,0.4327755925504312,19.5784,99.1568,391
27,0.4482293417404106,20.0806,103.0081,392
28,0.4635502709028509,19.7542,98.859,393
29,0.47873384011578846,19.5592,98.708,394
30,0.49377555015997715,19.5566,96.003,395
31,0.5086709438521044,19.0709,96.5134,396
32,0.5234156073655503,19.8395,99.0468,397
33,0.5380051715382996,19.541,93.7557,398
34,0.5524353131676196,20.1367,99.6384,399
35,0.5667017562911176,19.6657,99.4634,400
36,0.5808002734538009,19.0959,95.1036,401
37,0.5947266869607634,19.7678,97.4744,402
38,0.6084768701151261,20.0968,99.2997,403
39,0.6220467484408675,18.9823,95.9256,404
40,0.6354323008901774,19.6109,95.2613,405
41,0.6486295610349814,19.2305,95.2636,406
42,0.6616346182422783,19.2488,96.0075,407
43,0.6744436188329455,19.5644,93.8107,408
44,0.6870527672236669,19.511,94.0477,409
45,0.699458327051647,18.8767,95.2713,410
46,0.7116566222817746,19.9866,93.3483,411
47,0.7236440382959124,18.3391,91.5861,412
48,0.7354170229639855,19.2564,89.7812,413
49,0.7469720876965552,19.211,93.6788,414
50,0.7583058084785624,18.0636,96.0148,415
51,0.7694148268839378,19.9196,93.9467,416
52,0.7802958510707755,18.9791,90.3261,417
53,0.7909456567567772,18.7322,90.882,418
54,0.8013610881746766,19.7646,91.5515,419
55,0.8115390590073611,19.0062,96.0423,420
56,0.8214765533024142,19.1553,95.9219,421
57,0.8311706263658079,19.0756,95.3197,422
58,0.8406184056344782,19.2238,91.4811,423
59,0.8498170915275278,19.51,97.9178,424
60,0.8587639582758029,19.4502,89.1004,425
61,0.8674563547295969,18.7955,89.5932,426
62,0.8758917051442429,19.0589,92.1217,427
63,0.8840675099433636,19.0331,90.4702,428
64,0.8919813464595485,19.2212,90.3334,429
65,0.8996308696522433,19.2746,85.0684,430
66,0.9070138128026359,18.3588,86.9075,431
67,0.9141279881853337,19.0811,88.6791,432
68,0.9209712877166346,19.415,87.0231,433
69,0.9275416835791966,18.8584,85.339,434
70,0.9338372288229252,19.0614,86.7499,435
71,0.9398560579418954,18.6756,88.397,436
72,0.9455963874271426,19.1963,89.1259,437
73,0.9510565162951535,18.2476,83.1214,438
74,0.9562348265919056,19.1122,87.0102,439
75,0.9611297838723007,19.2325,86.5659,440
76,0.9657399376548549,19.7188,87.0483,441
77,0.9700639218515071,18.7707,83.8691,442
78,0.9741004551724205,19.472,83.6726,443
79,0.9778483415056568,19.2553,88.5841,444
80,0.9813064702716093,18.6314,80.1119,445
81,0.9844738167520922,19.2408,83.5566,446
82,0.9873494423939864,19.5715,84.2677,447
83,0.989932495087353,20.0814,84.2607,448
84,0.9922222094179323,19.2652,83.2433,449
85,0.994217906893952,19.0474,85.5716,450
86,0.995918996147179,19.8375,85.1668,451
87,0.9973249731081555,20.5477,83.7804,452
88,0.9984354211555643,20.8035,82.5351,453
89,0.9992500112396835,19.368,83.2113,454
90,0.9997685019798909,19.5217,83.6685,455
91,0.9999907397361901,20.2179,81.6726,456
92,0.9999166586547379,19.8478,84.3649,457
93,0.9995462806873573,20.713,85.1354,458
94,0.9988797155850336,20.4938,85.9481,459
95,0.9979171608653922,19.4572,85.6176,460
96,0.9966589017541702,19.9171,81.7531,461
97,0.9951053111006976,20.1075,82.5541,462
98,0.9932568492674143,21.2477,81.7704,463
99,0.9911140639934547,20.6277,81.6117,464
100,0.9886775902323405,20.5121,81.3283,465
101,0.9859481499638304,20.7212,81.7119,466
102,0.9829265519799822,21.3233,84.1268,467
103,0.9796136916454901,20.8533,82.114,468
104,0.9760105506323683,20.5349,78.776,469
105,0.9721181966290613,21.0406,83.257,470
106,0.9679377830240642,21.048,81.5398,471
107,0.9634705485641488,21.2101,82.0454,472
108,0.9587178169872964,20.514,81.4992,473
109,0.9536809966304457,19.3617,81.504,474
110,0.9483615800121715,19.0409,81.5157,475
111,0.9427611433904207,20.8271,76.7957,476
112,0.9368813462954315,20.1512,81.5576,477
113,0.9307239310379795,21.2476,78.8658,478
114,0.9242907221930933,21.6299,79.2989,479
115,0.9175836260593937,20.7962,80.2966,480
116,0.9106046300942162,20.6893,83.801,481
117,0.9033558023246845,20.4827,77.9877,482
118,0.895839290734909,19.9101,80.0694,483
119,0.8880573226294932,20.1469,79.5458,484
120,0.8800122039735357,20.4863,82.109,485
121,0.8717063187093218,20.3458,79.4262,486
122,0.8631421280499114,20.6355,80.518,487
123,0.854322169749827,22.2044,77.8127,488
124,0.8452490573530633,22.4872,82.4333,489
125,0.8359254794186372,22.7468,76.8829,490
126,0.8263541987239096,21.8458,81.0224,491
127,0.8165380514459161,22.7946,80.5169,492
128,0.8064799463209448,22.6844,80.8508,493
129,0.7961828637826158,22.4322,76.9589,494
130,0.7856498550787147,22.0231,79.4097,495
131,0.7748840413670407,22.8633,82.0238,496
132,0.7638886127905428,22.7383,84.0954,497
133,0.7526668275320085,22.1784,79.9514,498
134,0.7412220108485958,22.0196,81.9309,499
135,0.7295575540864875,22.2404,80.5885,500
136,0.717676913675962,19.0574,80.2333,501
137,0.705583610107178,19.5821,79.5206,502
138,0.6932812268869777,19.3816,80.5136,503
139,0.6807734094770161,18.9983,82.0615,504
140,0.6680638642135335,19.2612,82.3371,505
141,0.6551563572090853,19.6094,78.0486,506
142,0.6420547132365637,18.1583,79.761,507
143,0.6287628145958344,18.3538,78.6666,508
144,0.6152845999633276,18.6451,81.1891,509
145,0.6016240632249226,18.9649,80.4473,510
146,0.5877852522924732,18.776,82.0556,511
147,0.5737722679043246,18.845,82.3345,512
148,0.5595892624101765,18.2718,76.9256,513
149,0.545240438540651,18.3873,76.9022,514
150,0.5307300481619334,18.8389,81.8291,515
151,0.5160623910158528,18.4339,84.5979,516
152,0.5012418134457758,18.4623,81.0352,517
153,0.48627270710868997,18.1917,81.1304,518
154,0.4711595076738638,17.9337,84.622,519
155,0.4559066935084588,18.4406,84.3905,520
156,0.440518784350495,18.4868,80.6877,521
157,0.42500033996955416,18.1008,84.5,522
158,0.4093559588156213,17.5961,81.4655,523
159,0.39359027665646673,18.2029,82.1436,524
160,0.3777079652039649,18.1181,81.4123,525
161,0.36171373072976765,17.799,80.9754,526
162,0.3456123126707335,19.0076,84.1452,527
163,0.3294084822245304,18.5146,81.0746,528
164,0.3131070409358269,18.0653,84.6391,529
165,0.29671281927349075,18.0706,84.7785,530
166,0.28023067519921585,18.5119,84.3924,531
167,0.26366549272800704,18.3565,83.9423,532
168,0.24702218048093552,17.8154,83.7486,533
169,0.23030567023061221,18.0392,83.0309,534
170,0.21352091543979612,17.8721,88.7949,535
171,0.19667288979357647,17.3705,85.4121,536
172,0.1797665857255624,17.1654,85.5735,537
173,0.16280701293851715,17.9791,84.3052,538
174,0.1457991969198751,19.2151,89.4539,539
175,0.12874817745258132,18.5631,85.5029,540
176,0.11165900712169512,17.8892,87.5736,541
177,0.09453674981719912,18.0095,88.2354,542
178,0.07738647923346301,17.8098,87.7753,543
179,0.06021327736579302,17.2802,84.7077,544
180,0.04302223300453059,17.9261,89.4738,545
181,0.02581844022713308,18.0434,86.9804,546
182,0.008606996888688698,18.1794,90.2977,547
183,-0.008606996888688009,18.6334,87.3642,548
184,-0.02581844022713239,18.3843,92.5421,549
185,-0.04302223300453034,18.725,91.4718,550
186,-0.060213277365792774,18.4661,92.0791,551
187,-0.07738647923346322,18.4277,91.1737,552
188,-0.09453674981719933,18.4811,87.7086,553
189,-0.11165900712169444,17.8164,87.4064,554
190,-0.12874817745258066,18.6354,93.5243,555
191,-0.14579919691987442,18.1509,94.1966,556
192,-0.16280701293851646,18.1039,88.6578,557
193,-0.17976658572556214,18.2869,91.6861,558
194,-0.19667288979357622,18.1194,94.2248,559
195,-0.2135209154397959,17.8171,92.7745,560
196,-0.23030567023061196,18.2635,93.26,561
197,-0.24702218048093527,18.1188,90.8888,562
198,-0.2636654927280072,18.1095,92.402,563
199,-0.2802306751992161,18.2262,96.9726,564
200,-0.2967128192734901,17.2579,92.807,565
201,-0.3131070409358267,18.0471,91.6435,566
202,-0.3294084822245302,18.7702,92.3683,567
203,-0.3456123126707333,18.7157,93.7798,568
204,-0.3617137307297674,18.1289,94.5428,569
205,-0.37770796520396466,18.0765,94.4749,570
206,-0.39359027665646645,17.0417,98.7134,571
207,-0.4093559588156211,17.7024,90.789,572
208,-0.42500033996955394,18.2666,95.4832,573
209,-0.4405187843504952,17.7479,96.749,574
210,-0.455906693508459,18.3482,98.2052,575
211,-0.47115950767386394,18.2419,96.6214,576
212,-0.4862727071086902,17.5015,97.0673,577
213,-0.5012418134457756,17.7554,98.2515,578
214,-0.5160623910158526,18.2875,96.9656,579
215,-0.5307300481619331,16.8568,91.8147,580
216,-0.5452404385406507,17.297,94.8363,581
217,-0.5595892624101763,16.737,97.1263,582
218,-0.5737722679043243,16.9369,95.7548,583
219,-0.5877852522924734,18.1524,103.5611,584
220,-0.6016240632249227,17.0272,97.4785,585
221,-0.6152845999633277,16.2363,96.0825,586
222,-0.6287628145958345,16.5957,98.5767,587
223,-0.6420547132365636,16.2472,98.8668,588
224,-0.655156357209085,16.9376,97.5931,589
225,-0.6680638642135333,17.0093,100.2875,590
226,-0.6807734094770159,17.0824,96.7854,591
227,-0.6932812268869771,16.9176,98.1348,592
228,-0.7055836101071774,15.956,100.0726,593
229,-0.7176769136759615,16.6543,99.5971,594
230,-0.7295575540864876,16.3746,101.8338,595
231,-0.7412220108485957,16.8406,104.0435,596
232,-0.7526668275320083,16.6041,100.2928,597
233,-0.7638886127905429,17.1351,105.2912,598
234,-0.7748840413670406,15.6829,98.5101,599
235,-0.7856498550787144,15.6281,104.6488,600
236,-0.7961828637826154,15.7468,98.6379,601
